Gene 1,Gene 2,Confidence Score
SPU_020722,SPU_020371,0.353595543
SPU_026465,SPU_008528,0.352643538
SPU_012648,SPU_020371,0.351755851
SPU_004148,SPU_020311,0.351278185
SPU_022678,SPU_019024,0.351201947
SPU_008703,SPU_015908,0.350470201
SPU_022820,SPU_008528,0.348916471
SPU_008117,SPU_020371,0.348041259
SPU_018391,SPU_020371,0.346052556
SPU_009831,SPU_019002,0.345096116
SPU_008117_1,SPU_020311,0.344881402
SPU_002791,SPU_018056,0.343673515
SPU_013689_1,SPU_005572,0.343314781
SPU_008845,SPU_020371,0.343222602
SPU_020722,SPU_025113,0.342626421
SPU_011189,SPU_020371,0.342064616
SPU_004723,SPU_019002,0.341866397
SPU_025113,SPU_000668,0.341001166
SPU_011635,SPU_020371,0.340457658
SPU_012546,SPU_009155,0.340224786
SPU_021608,SPU_020311,0.339487911
SPU_008117_1,SPU_020371,0.338972819
SPU_017837,SPU_020311,0.337479525
SPU_009831,SPU_000668,0.336963879
SPU_004723,SPU_020371,0.335842626
SPU_018391,SPU_008528,0.335709833
SPU_018581,SPU_019024,0.335180464
SPU_009831,SPU_021608,0.334375668
SPU_020123,SPU_006676,0.334354876
SPU_007981,SPU_018056,0.332301995
SPU_012914,SPU_020311,0.330401035
SPU_004217,SPU_019024,0.329770062
SPU_025113,SPU_020371,0.328943088
SPU_015358,SPU_018581,0.328791582
SPU_024307,SPU_015908,0.327960172
SPU_022820,SPU_020371,0.326679235
SPU_003102,SPU_000668,0.326218481
SPU_003102,SPU_020371,0.324339145
SPU_025113,SPU_000841,0.3218944
SPU_014802,SPU_015908,0.319217477
SPU_003470,SPU_019024,0.318544919
SPU_007611,SPU_008528,0.318059768
SPU_025113,SPU_020311,0.316274829
SPU_012384,SPU_019002,0.31602962
SPU_018391,SPU_002874,0.315403636
SPU_001657,SPU_015908,0.314818683
SPU_006991,SPU_010424,0.314630445
SPU_010424,SPU_027235,0.314381216
SPU_008117,SPU_020311,0.313643925
SPU_011635,SPU_018581,0.311561242
SPU_014793,SPU_019024_1,0.310490999
SPU_023366,SPU_020311,0.310149314
SPU_009831,SPU_020371,0.308556772
SPU_018581,SPU_019024_1,0.306393831
SPU_012546,SPU_010424,0.306064067
SPU_014576,SPU_015908,0.305327885
SPU_000276,SPU_015908,0.304910378
SPU_008528,SPU_002874,0.302301514
SPU_009642,SPU_019024_1,0.301895789
SPU_010295,SPU_020311,0.301892878
SPU_002791,SPU_020371,0.301740818
SPU_012253,SPU_019002,0.301530956
SPU_004723,SPU_024794,0.30081224
SPU_014332,SPU_020371,0.300080078
SPU_019366,SPU_015908,0.29988172
SPU_008845,SPU_011583,0.299868275
SPU_008117_1,SPU_024794,0.296673348
SPU_005358,SPU_027235,0.29662317
SPU_025584,SPU_019002,0.296360911
SPU_020722,SPU_011583,0.296274693
SPU_018954,SPU_015908,0.295085103
SPU_017635,SPU_020311,0.2945592
SPU_025346,SPU_021608,0.293916028
SPU_008117,SPU_000841,0.293813038
SPU_012384,SPU_011583,0.29276733
SPU_010295,SPU_000668,0.290930826
SPU_013569,SPU_018581,0.290863459
SPU_017725,SPU_020311,0.290176763
SPU_008117,SPU_024794,0.289279095
SPU_020565,SPU_008703,0.288661429
SPU_013689,SPU_019024_1,0.288102535
SPU_019290,SPU_008703,0.287747404
SPU_018392,SPU_011583,0.287736315
SPU_010295,SPU_000841,0.28671237
SPU_002320,SPU_018581,0.286657894
SPU_004148,SPU_011583,0.286279754
SPU_003179,SPU_017106,0.28601403
SPU_021557,SPU_018581,0.285573651
SPU_002129,SPU_027235,0.285503928
SPU_017837,SPU_000841,0.283778039
SPU_022163,SPU_018581,0.281524582
SPU_027235,SPU_015374,0.281501572
SPU_017837,SPU_024794,0.280189031
SPU_020722,SPU_024794,0.279091204
SPU_002603,SPU_015374,0.278987521
SPU_018056,SPU_019024_1,0.278910451
SPU_008117_1,SPU_000841,0.278696985
SPU_028583,SPU_017106,0.278676886
SPU_019002,SPU_020371,0.278325914
SPU_008117,SPU_022153,0.277837159
SPU_002816,SPU_015908,0.276978164
SPU_006583,SPU_006676,0.276825827
SPU_008117_1,SPU_011583,0.27673046
SPU_003470,SPU_019024_1,0.276654638
SPU_012648,SPU_024794,0.276390439
SPU_020123,SPU_004414,0.276249468
SPU_018954,SPU_026418,0.275731188
SPU_009831,SPU_019024,0.27551592
SPU_018392,SPU_008528,0.274887303
SPU_014418,SPU_015908,0.274286132
SPU_007262,SPU_024794,0.274211003
SPU_023090,SPU_019024_1,0.274168725
SPU_025632,SPU_015908,0.274044942
SPU_003470,SPU_000668,0.271369405
SPU_010403,SPU_017106,0.271060987
SPU_002874,SPU_019024,0.270297776
SPU_012203,SPU_008703,0.270297776
SPU_021172,SPU_015374,0.270078626
SPU_025113,SPU_024794,0.269545238
SPU_011202,SPU_008703,0.268973314
SPU_003102,SPU_011583,0.268955571
SPU_013015,SPU_017106,0.268922443
SPU_011189,SPU_022153,0.268758184
SPU_014332,SPU_000668,0.268438539
SPU_006462,SPU_027235,0.268416777
SPU_008845,SPU_024794,0.268401945
SPU_004723,SPU_022153,0.268206914
SPU_006421,SPU_011583,0.267470594
SPU_018355,SPU_003704,0.26740392
SPU_027235,SPU_000756,0.267263088
SPU_018391,SPU_024794,0.267054196
SPU_026465,SPU_003704,0.266469658
SPU_026877,SPU_017106,0.266293895
SPU_018355_1,SPU_003704,0.265812348
SPU_009831,SPU_010698_1,0.265777695
SPU_025346,SPU_000668,0.264717987
SPU_006462,SPU_000756,0.26454056
SPU_028583,SPU_005718,0.264446164
SPU_023090,SPU_010698_1,0.26382517
SPU_011189,SPU_024794,0.26303479
SPU_012384,SPU_020371,0.262736492
SPU_027053,SPU_018056,0.262223341
SPU_003179,SPU_005718,0.262047994
SPU_014332,SPU_012253,0.26158516
SPU_018056,SPU_010698_1,0.261268287
SPU_012914,SPU_011583,0.26123599
SPU_002603,SPU_004414,0.261092801
SPU_017837,SPU_022153,0.260843295
SPU_002791,SPU_022153,0.260350381
SPU_008528,SPU_024794,0.259961984
SPU_018056,SPU_003704,0.259805072
SPU_012490,SPU_000756,0.259775686
SPU_025346,SPU_019024_1,0.259448417
SPU_015908,SPU_008703,0.259372595
SPU_006991,SPU_018581,0.259144435
SPU_008845,SPU_008528,0.258845998
SPU_024307,SPU_008703,0.25859372
SPU_012648,SPU_022153,0.258134628
SPU_005358,SPU_012253,0.257765082
SPU_002603,SPU_000756,0.257465536
SPU_007644,SPU_010698_1,0.257247911
SPU_026465,SPU_010698_1,0.256910246
SPU_027053,SPU_022153,0.256759434
SPU_012546,SPU_020311,0.256749453
SPU_005358,SPU_006676,0.25667973
SPU_009831,SPU_022153,0.256475135
SPU_007644,SPU_009263,0.256346224
SPU_027053,SPU_024794,0.256279827
SPU_021608,SPU_019002,0.256147728
SPU_019002,SPU_012253,0.25582129
SPU_002129,SPU_018581,0.254809266
SPU_012914,SPU_025113,0.254417541
SPU_009831,SPU_020722,0.254328135
SPU_018355,SPU_010698_1,0.254241085
SPU_003166,SPU_000756,0.254077658
SPU_028255,SPU_000756,0.253603597
SPU_024189,SPU_000756,0.253533042
SPU_022820,SPU_022153,0.253515438
SPU_017407,SPU_018581,0.253320268
SPU_002874,SPU_022153,0.253202585
SPU_011635,SPU_022153,0.253155733
SPU_015374,SPU_017106,0.253062861
SPU_008117,SPU_011583,0.253030148
SPU_002791,SPU_019024,0.25242565
SPU_020722,SPU_012253,0.25229563
SPU_015374,SPU_004414,0.251961707
SPU_013015,SPU_000756,0.251565547
SPU_022820,SPU_024794,0.251393388
SPU_011635,SPU_020722,0.251009287
SPU_018581,SPU_009642,0.250648058
SPU_015719,SPU_015908,0.249593894
SPU_018056,SPU_027053,0.249325952
SPU_026633,SPU_015374,0.24913106
SPU_023090,SPU_003704,0.249002149
SPU_018355,SPU_027053,0.248716187
SPU_017642,SPU_000509,0.248650899
SPU_013689,SPU_003704,0.248612642
SPU_026633,SPU_000756,0.247984441
SPU_006462,SPU_015374,0.24797848
SPU_022678,SPU_003704,0.247961015
SPU_003704,SPU_027053,0.24775337
SPU_023037,SPU_022153,0.247330873
SPU_023090,SPU_027053,0.247103823
SPU_003102,SPU_000841,0.247029664
SPU_021608,SPU_011583,0.247027585
SPU_024903,SPU_027235,0.24696798
SPU_018483,SPU_000756,0.24692598
SPU_002874,SPU_010698_1,0.246812594
SPU_011635,SPU_024794,0.24666289
SPU_011189,SPU_020722,0.246602177
SPU_003166,SPU_015374,0.246519147
SPU_028255,SPU_015374,0.246060748
SPU_012384,SPU_012253,0.245918668
SPU_013015,SPU_015374,0.245223794
SPU_008845,SPU_012253,0.244637732
SPU_026418,SPU_008703,0.24438878
SPU_021172,SPU_000756,0.2442327
SPU_018483,SPU_027235,0.24421565
SPU_020722,SPU_022153,0.244151195
SPU_002791,SPU_024794,0.244087155
SPU_004702,SPU_009263,0.24376543
SPU_003102,SPU_012253,0.243210695
SPU_024189,SPU_015374,0.243119209
SPU_021557,SPU_027235,0.24285307
SPU_007262,SPU_022153,0.24282701
SPU_012253,SPU_020371,0.242784871
SPU_004217,SPU_009263,0.242777386
SPU_017635,SPU_000841,0.242663029
SPU_002874,SPU_009263,0.242462038
SPU_010295,SPU_011583,0.242423919
SPU_017837,SPU_012253,0.241913679
SPU_022678,SPU_009263,0.241570053
SPU_018391,SPU_022153,0.241034586
SPU_004217,SPU_027053,0.240586999
SPU_010305,SPU_017106,0.240354959
SPU_026205,SPU_017106,0.240335137
SPU_009831,SPU_024794,0.240174482
SPU_011635,SPU_010698_1,0.239889768
SPU_018483,SPU_015374,0.239437192
SPU_022163,SPU_027235,0.239337251
SPU_023037,SPU_018056,0.23866996
SPU_009642,SPU_003704,0.238369721
SPU_002874,SPU_020722,0.238283503
SPU_014332,SPU_009155,0.238260354
SPU_014793,SPU_009642,0.237886095
SPU_018581,SPU_014793,0.237766609
SPU_001262_2,SPU_003704,0.237729322
SPU_002791,SPU_010698_1,0.237518767
SPU_023177,SPU_008703,0.237360192
SPU_025113,SPU_011583,0.237232944
SPU_013015,SPU_005718,0.23676706
SPU_018056,SPU_009263,0.236753892
SPU_024189,SPU_006814,0.236680426
SPU_018355_1,SPU_027053,0.236449771
SPU_002791,SPU_009263,0.236421633
SPU_007981,SPU_009263,0.236378246
SPU_023090,SPU_009263,0.236361335
SPU_026205,SPU_000756,0.236047928
SPU_003470,SPU_020722,0.235927888
SPU_005572,SPU_020311,0.235331291
SPU_007644,SPU_027053,0.235249508
SPU_002791,SPU_020722,0.235117131
SPU_025346,SPU_020371,0.234958279
SPU_018355,SPU_009263,0.234851546
SPU_026465,SPU_027053,0.234672595
SPU_002874,SPU_024794,0.234564198
SPU_015767,SPU_015908,0.234345603
SPU_009831,SPU_017837,0.234184949
SPU_003470,SPU_017837,0.233752055
SPU_001998,SPU_004414,0.23363853
SPU_014332,SPU_025113,0.233323598
SPU_024307,SPU_026418,0.232866031
SPU_014793,SPU_017837,0.232739061
SPU_006583,SPU_004414,0.232627614
SPU_005572,SPU_000841,0.232356207
SPU_026877,SPU_005718,0.232342207
SPU_008117_1,SPU_012253,0.232247118
SPU_008528,SPU_022153,0.231954225
SPU_003704,SPU_009263,0.231944106
SPU_008117_1,SPU_012546,0.23189074
SPU_020722,SPU_012546,0.231784006
SPU_008752,SPU_004414,0.231478916
SPU_011189,SPU_010698_1,0.231244241
SPU_008117,SPU_012546,0.231222618
SPU_008117,SPU_020722,0.230957587
SPU_009178,SPU_017106,0.230817031
SPU_006676,SPU_000756,0.230607724
SPU_023037,SPU_020722,0.230462733
SPU_027053,SPU_020722,0.229998097
SPU_017837,SPU_020722,0.229936136
SPU_009831,SPU_019024_1,0.229693977
SPU_006676,SPU_017106,0.229487025
SPU_017837,SPU_012546,0.229461936
SPU_019002,SPU_000668,0.228619575
SPU_027774,SPU_009263,0.228499951
SPU_007262,SPU_018581,0.22818391
SPU_012384,SPU_000668,0.22796878
SPU_025113,SPU_012253,0.227872304
SPU_003470,SPU_020371,0.22771664
SPU_015358,SPU_020311,0.227530065
SPU_018744,SPU_016449,0.227206262
SPU_011174,SPU_008703,0.22716939
SPU_017470,SPU_018581,0.226962161
SPU_012914,SPU_024794,0.226801507
SPU_018861,SPU_015908,0.226424892
SPU_023386,SPU_017106,0.225868077
SPU_024189,SPU_015908,0.225662512
SPU_008845,SPU_012546,0.225402887
SPU_011174,SPU_004414,0.225011301
SPU_003179,SPU_015374,0.223937177
SPU_002129,SPU_019002,0.223924147
SPU_008845,SPU_022153,0.223231906
SPU_002129,SPU_000756,0.223174935
SPU_002874,SPU_027053,0.222348931
SPU_004723,SPU_012546,0.221988672
SPU_015358,SPU_000841,0.221821919
SPU_025113,SPU_003102,0.221038331
SPU_009642,SPU_017837,0.220768448
SPU_008117,SPU_012253,0.220722706
SPU_027053,SPU_009263,0.220496764
SPU_012772,SPU_008703,0.220174208
SPU_026633,SPU_003166,0.220044049
SPU_009831,SPU_003102,0.219947435
SPU_018392,SPU_022153,0.219378283
SPU_004148,SPU_000668,0.219269055
SPU_018355_1,SPU_009263,0.218404378
SPU_009642,SPU_014793,0.218212535
SPU_008752,SPU_008703,0.2176438
SPU_023090,SPU_028030,0.217169738
SPU_002592,SPU_000756,0.216896806
SPU_007262,SPU_012546,0.216875321
SPU_025113,SPU_012546,0.216814192
SPU_011635,SPU_017837,0.2166753
SPU_011189,SPU_012546,0.216447279
SPU_012490,SPU_015374,0.215499017
SPU_002791,SPU_027053,0.214982262
SPU_012648,SPU_020722,0.214213783
SPU_023037,SPU_009263,0.21403705
